No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
18,Online Media,2024-08-03,"PNB, EPF bag RM12.55b in FY2023 dividends from top 50 PLCs",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1290441/pnb-epf-bag-rm12-55b-in-fy2023-dividends-from-top-50-plcs,positive,Time,Time,Ad Value,1600.0
19,Online Media,2024-08-03,"PNB, EPF bag RM12.55b in FY2023 dividends from top 50 PLCs",All Categories,All products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/savemalaysia/2024-03-08-story-h-186605643-PNB_EPF_bag_RM12_55b_in_FY2023_dividends_from_top_50_PLCs,positive,Time,Time,Ad Value,8400.0
20,Online Media,2024-08-03,"PNB, EPF bag RM12.55b in FY2023 dividends from top 50 PLCs",All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/blogs/savemalaysia/2024-03-08-story-h-186605643-PNB_EPF_bag_RM12_55b_in_FY2023_dividends_from_top_50_PLCs.jsp,positive,Time,Time,Ad Value,1000.0
21,Online Media,2024-08-03,"PNB, EPF bag RM12.55 bil in FY2023 dividends from top 50 PLCs",All Categories,All products,NEWSWAV.COM,https://newswav.com/article/pnb-epf-bag-rm12-55b-in-fy2023-dividends-from-top-50-plcs-A2403_JX9KHz,positive,Time,Time,Ad Value,2000.0
22,Online Media,2024-12-03,MyIX Offers New Network Infrastructure Training Programme,"Enterprise, Wholesale, or Public Sector",Enterprise products,TECHBARISSTA,https://www.techbarrista.com/myix-offers-new-network-infrastructure-training-programme/,positive,Time,Time,Ad Value,2000.0
23,Online Media,2024-12-03,MyIX Boosts CSR With Network Infrastructure Training Programme,"Enterprise, Wholesale, or Public Sector",Enterprise products,BIZVANTAGE 360,https://www.bizvantage360.com/myix-boosts-csr-with-network-infrastructure-training-programme/,positive,Time,Time,Ad Value,3000.0
24,Online Media,2024-12-03,MyIX introduces Network Infrastructure Training Programme as part of National CSR efforts,"Enterprise, Wholesale, or Public Sector",Enterprise products,BUSINESS TODAY MY,https://www.businesstoday.com.my/2024/03/12/myix-introduces-network-infrastructure-training-programme-as-part-of-national-csr-efforts/,positive,Time,Time,Ad Value,2000.0
25,Online Media,2024-12-03,MyIX Trains 25 Participant in Network Infrastructure Training Programme,"Enterprise, Wholesale, or Public Sector",Enterprise products,BUSINESS CIRCLE KL,https://www.businesscirclekl.com/myix-trains-25-participant-in-network-infrastructure-training-programme/,positive,Time,Time,Ad Value,1000.0
26,Online Media,2024-12-03,MyIX commences network infrastructure training programme as part of national CSR efforts,"Enterprise, Wholesale, or Public Sector",Enterprise products,I3INVESTOR,https://klse1.i3investor.com/blogs/savemalaysia/2024-03-12-story-h-186510565-MyIX_commences_network_infrastructure_training_programme_as_part_of_nat.jsp,positive,Time,Time,Ad Value,1000.0
27,Online Media,2024-12-03,MyIX commences Network Infrastructure Training Programme as part of National CSR efforts,"Enterprise, Wholesale, or Public Sector",Enterprise products,MALAYSIA KINI - MY,https://www.malaysiakini.com/announcement/699090,positive,Time,Time,Ad Value,11200.0
28,Online Media,2024-12-03,MyIX commences Network Infrastructure Training Programme as part of national Corporate Social Respo,"Enterprise, Wholesale, or Public Sector",Enterprise products,DIGITAL NEWS ASIA,https://www.digitalnewsasia.com/business/myix-commences-network-infrastructure-training-programme-part-national-corporate-social,positive,Time,Time,Ad Value,4000.0
